# savednetworks/compressed/gen_erdos_renyi_0.graph analysis
0.0	0.09867941314723455
0.025	0.09403622016284119
0.05	0.08999497351917064
0.075	0.08608422573198574
0.1	0.08203116245655888
0.125	0.07744998781880227
0.15	0.07300729110383487
0.175	0.06759038581787578
0.2	0.06243608361167269
0.225	0.0561329497833533
0.25	0.049864852071703464
0.275	0.042591848650250876
0.3	0.034143919389309725
0.325	0.026025836280229146
0.35	0.014648122085939247
0.375	0.00344992831835208
0.4	0.0004453416858728616
0.425	0.000244122556652159
0.45	0.0001596927815812796
0.475	0.00013190883640905733
0.5	0.00010316745853129935
0.525	7.273613093011551e-05
0.55	5.0631348214010066e-05
0.575	3.9457972067909244e-05
0.6	2.5007814942169428e-05
0.625	6.2242969878848505e-06
0.65	0.0
0.675	0.0
0.7	0.0
0.725	0.0
0.75	0.0
0.775	0.0
0.8	0.0
0.825	0.0
0.85	0.0
0.875	0.0
0.9	0.0
0.925	0.0
0.95	0.0
0.975	0.0
